	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
week							
1	Off	4	6	4	6	3	10
2	Off	Fartlek (5)	3	5	6	3	11
3	Off	5-6 Hills 5k-10k pace	3	6	6	3	12
4	Off	Fartlek (5)	3	6	6	3	6
5	Off	6 x 400s 5K pace	4	6	6	3	14
6	Off	4-5 Long Hills 5K-10K pace	4	7	7	4	8
7	Off	3 x Mile 5K - 10K pace	4	7	7	3	16
8	Off	6 x 880s 5K - 10K pace	5	7	7	4	9
9	Off	6-7 Hills 5K - 10K pace	4	7	7	4	18
10	Off	6 x 880s 5K - 10K pace	5	8	8	5	10
11	Off	5-6 Long Hills 5K - 10K pace	5	8	7	4	20
12	Off	4 x Mile 5K - 10K pace	4	8	8	3	10K race or 12M
13	Off	4 x Fast 880s 5K minus 10 seconds	4	6	6	3	22
14	Off	6 x 880s 5K pace	3	7	6	3	10K race or 12M
15	Off	6M	3	5	5	3	24
16	Off	6 x 880s 5K pace	4	8	6	4	10K race or 12M
17	Off	Fartlek (5)	3	5	Off	3	26
18	Off	4	3	6	6	3	12
19	Off	Fartlek (5)	3	5	5	3	10K race or 12M
20	Off	Fartlek (5)	4	4	Off	2	RACE DAY